price,quantity
0.21516,5342.0
0.21517,6270.0
0.21518,66874.0
0.2152,6402.0
0.21522,1785.0
0.21524,58405.0
0.2153,6000.0
0.21533,3439.0
0.21534,86280.0
0.21535,1000.0
0.21536,1024.0
0.21537,56305.0
0.21538,1325.0
0.21539,20326.0
0.2154,1659.0
0.21544,1757.0
0.21545,3830.0
0.21547,1064.0
0.21548,4462.0
0.21549,5854.0
0.2155,657950.0
0.21551,11432.0
0.21552,1279.0
0.21555,15255.0
0.21556,8443.0
0.21559,2285.0
0.2156,3362.0
0.21562,9375.0
0.21565,80891.0
0.21566,1283.0
0.21567,2063.0
0.21568,222072.0
0.21569,4484.0
0.2157,1954.0
0.21571,1867.0
0.21573,21461.0
0.21574,1576.0
0.21575,1888.0
0.21576,47701.0
0.21577,1516685.0
0.2158,11083.0
0.21582,24573.0
0.21583,991783.0
0.21584,1291.0
0.21585,2054.0
0.21586,19573.0
0.21587,31859.0
0.21588,62594.0
0.21589,2331.0
0.2159,10042.0
0.21591,2556.0
0.21593,55686.0
0.21596,4592.0
0.21599,45862.0
0.216,565720.0
0.21601,5598.0
0.21603,94369.0
0.21604,1111.0
0.21606,13885.0
0.21608,1411.0
0.21609,1606.0
0.21611,6671.0
0.21614,5774.0
0.21617,96167.0
0.21618,19231.0
0.21619,166003.0
0.2162,23512.0
0.21621,55489.0
0.21622,130230.0
0.21623,91596.0
0.21624,1116.0
0.21625,3757.0
0.21626,9327.0
0.21628,76413.0
0.21629,1156.0
0.21631,3048.0
0.21632,132203.0
0.21633,544004.0
0.21634,4300.0
0.21635,44424.0
0.21636,23712.0
0.21637,2514.0
0.21639,22524.0
0.2164,4443.0
0.21641,3045.0
0.21643,2144.0
0.21645,1534.0
0.21646,17397.0
0.21647,1646.0
0.21649,95896.0
0.2165,29808.0
0.21654,2205.0
0.21655,10439.0
0.21658,17219.0
0.21661,1193.0
0.21665,45897.0
0.21666,60916.0
0.21667,1048.0
0.21668,5222.0
0.21669,1320.0
0.2167,18670.0
0.21671,3174.0
0.21672,1142.0
0.21673,483823.0
0.21675,1099.0
0.21676,3435.0
0.21677,68983.0
0.2168,22451.0
0.21682,15571.0
0.21683,49285.0
0.21686,2315.0
0.21687,14033.0
0.21688,28236.0
0.2169,6034.0
0.21691,10904.0
0.21692,4709.0
0.21693,2241.0
0.21695,19577.0
0.21696,70826.0
0.21698,2079.0
0.21699,2770.0
0.217,217347.0
0.21701,6066.0
0.21702,2269.0
0.21703,7497.0
0.21704,1824.0
0.21705,101979.0
0.21706,21459.0
0.21707,1112.0
0.21709,27979.0
0.2171,1102.0
0.21712,14911.0
0.21714,1445.0
0.21717,3936.0
0.21718,1822.0
0.21719,12178.0
0.2172,69796.0
0.21722,102698.0
0.21723,3712.0
0.21724,1082.0
0.21725,34526.0
0.21726,5563.0
0.21729,208894.0
0.2173,14878.0
0.21731,2650.0
0.21732,2888.0
0.21733,55278.0
0.21734,1869.0
0.21735,6343.0
0.21736,69657.0
0.21737,241301.0
0.21738,151119.0
0.2174,24522.0
0.21741,99867.0
0.21742,3040.0
0.21743,57048.0
0.21744,21373.0
0.21745,11424.0
0.21746,1724.0
0.21747,14657.0
0.21748,52877.0
0.21749,80005.0
0.2175,78856.0
0.21751,45496.0
0.21752,45512.0
0.21753,44330.0
0.21754,32391.0
0.21755,21749.0
0.21756,4048.0
0.21757,98997.0
0.21759,22977.0
0.2176,29606.0
0.21761,130514.0
0.21762,45474.0
0.21763,507237.0
0.21764,96145.0
0.21765,4338.0
0.21767,2307.0
0.21768,45223.0
0.2177,21229.0
0.21771,561191.0
0.21774,28576.0
0.21775,48368.0
0.21776,18697.0
0.21777,67938.0
0.21778,141456.0
0.21779,26164.0
0.2178,99230.0
0.21782,170645.0
0.21783,5743.0
0.21784,14942.0
0.21785,123976.0
0.21786,16398.0
0.21787,31546.0
0.21788,28794.0
0.21789,132267.0
0.2179,27376.0
0.21791,90445.0
0.21792,15444.0
0.21793,29636.0
0.21794,1618.0
0.21795,106623.0
0.21797,1339.0
0.21798,1058.0
0.21799,8820.0
0.218,930911.0
0.21801,11326.0
0.21802,1260.0
0.21803,5121.0
0.21804,20428.0
0.21805,77624.0
0.21806,2672.0
0.21808,127466.0
0.21809,160145.0
0.2181,11478.0
0.21811,22937.0
0.21812,1723.0
0.21813,22522.0
0.21814,15848.0
0.21815,1964.0
0.21817,124187.0
0.21818,74460.0
0.21819,54788.0
0.2182,8277.0
0.21821,1192.0
0.21822,21461.0
0.21823,1501.0
0.21824,35872.0
0.21825,23373.0
0.21826,36453.0
0.21828,46772.0
0.21829,2607.0
0.2183,70066.0
0.21831,15526.0
0.21833,80507.0
0.21834,54176.0
0.21836,13555.0
0.21837,23307.0
0.21838,10941.0
0.2184,2856.0
0.21841,12066.0
0.21843,5576.0
0.21844,55789.0
0.21845,61527.0
0.21847,17056.0
0.21848,70805.0
0.21849,1086.0
0.2185,32487.0
0.21851,37183.0
0.21852,2969.0
0.21853,480018.0
0.21855,22053.0
0.21856,28182.0
0.21857,4016.0
0.21858,30366.0
0.21859,23363.0
0.2186,54126.0
0.21861,7575.0
0.21863,72648.0
0.21864,34385.0
0.21865,45929.0
0.21866,30267.0
0.21867,25931.0
0.21868,1557.0
0.21869,14126.0
0.2187,8503.0
0.21871,144473.0
0.21872,19280.0
0.21873,70014.0
0.21874,6197.0
0.21875,87799.0
0.21876,266790.0
0.21877,30956.0
0.21878,70353.0
0.21879,58197.0
0.2188,1033834.0
0.21881,4157.0
0.21882,1491.0
0.21883,750433.0
0.21884,23092.0
0.21885,22420.0
0.21886,1458.0
0.21888,70197.0
0.2189,32118.0
0.21891,14377.0
0.21894,2400.0
0.21895,17176.0
0.21896,90690.0
0.21898,5619.0
0.21899,28977.0
0.219,161523.0
0.21901,84693.0
0.21902,14108.0
0.21903,59361.0
0.21905,23773.0
0.21906,70112.0
0.21908,37932.0
0.21909,5548.0
0.2191,51448.0
0.21911,34335.0
0.21912,92494.0
0.21913,24732.0
